title,authors,year,doi,pdf link ,plain_summary,why_it_matters,theme_tags,audience_level,featured,open_access,data_code_links,policy_relevance,press_links,image_url,alt_text,impact_tags,citation_count,funders,region_system,methods_tags,source_url,journal,journal_abbrev,volume,issue,pages,publisher,abstract,keywords,issn,doi_url,citation_apa,study_type,sdg_tags,collaborators,lab_project,notes
Temporal variation in dispersal modifies dispersal-diversity relationships in an experimental seagrass metacommunity,"Stier, Ac; Lee, Sc; O’Connor, Mi",2019,10.3354/meps12908,https://drive.google.com/open?id=1y5X-IbM4uA58DMaN_M26fh0WzbTeR6hu&usp=drive_fs,,,,Research,,FALSE,,,,,,,11,,,Meta-analysis,https://www.int-res.com/articles/meps2019/613/m613p067.pdf,Marine Ecology Progress Series,Mar. Ecol. Prog. Ser.,613,,67-76,Inter-Research Science Center,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 613:67-76 (2019) - DOI: https://doi.org/10.3354/meps12908 Temporal variation in dispersal modifies dispersal-diversity relationships in an experimental seagrass metacommunity Adrian C. Stier1,*, Sarah C. Lee2, Mary I. O’Connor3 1Department of Ecology, Evolution, and Marine Biology, University of California, Santa Barbara, CA 93106, USA 2Department of Biology, DePauw University, Greencastle, IN 46135, USA 3Department of Zoology and Biodiversity Research Centre, University of British Columbia, Vancouver, BC V6T 1Z4, Canada *Corresponding author: astier@ucsb.edu ABSTRACT: Dispersal is a key force driving patterns of biodiversity. However, temporal variation in dispersal due to seasonality, weather, and other stochastic forces is an understudied aspect of the dispersal-diversity relationship. Metacommunity theory predicts temporal variation in dispersal can alter species distributions across patches. We empirically tested the hypothesis that variation in dispersal can modify the nonlinear dispersal-diversity relationship. Using a mesocosm experiment, we factorially manipulated variation in and intensity of dispersal in invertebrate grazer communities associated with nearshore seagrass ecosystems. Higher dispersal intensity led to higher grazer abundance, higher species richness (alpha diversity), and—when dispersal was variable—lower compositional similarity among patches (higher beta diversity). Within each dispersal intensity treatment level, temporal variation in dispersal decreased alpha diversity and increased beta diversity, with strongest effects at low- and intermediate-intensity dispersal. Our results provide the first empirical evidence that temporal variation in dispersal can substantially modify the well-described dispersal-diversity relationship for both alpha and beta diversity. Broadly, our results provide increasing evidence for the effects of spatial and temporal variability in modifying the role of the ecological processes driving marine metacommunity structure. KEY WORDS: Community assembly · Jensen’s inequality · Larval supply · Seagrass · Metacommunity Full text in pdf format Supplementary material PreviousNextCite this article as: Stier AC, Lee SC, O’Connor MI (2019) Temporal variation in dispersal modifies dispersal-diversity relationships in an experimental seagrass metacommunity. Mar Ecol Prog Ser 613:67-76. https://doi.org/10.3354/meps12908 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 613. Online publication date: March 21, 2019 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2019 Inter-Research.",Biological dispersal; Metacommunity; Ecology; Beta diversity; Biodiversity; Seagrass,0171-8630,https://doi.org/10.3354/meps12908,"Ac, S., Sc, L., Mi, O. (2019.0). Temporal variation in dispersal modifies dispersal-diversity relationships in an experimental seagrass metacommunity. Marine Ecology Progress Series, 613, 67-76. https://doi.org/10.3354/meps12908",,,,,
Landscape configuration drives persistent spatial patterns of occupant distributions,"Hamman, Elizabeth A.; McKinley, Scott A.; Stier, Adrian C.; Osenberg, Craig W.",2018,10.1007/s12080-017-0352-1,https://drive.google.com/open?id=1QXHBCA6eoJnD_iGBRtx115DarRHmNZu1&usp=drive_fs,,,,,,FALSE,,,,https://static-content.springer.com/image/art%3A10.1007%2Fs12080-017-0352-1/MediaObjects/12080_2017_352_Fig1_HTML.gif,Landscape configuration drives persistent spatial patterns of occupant distributions - Theoretical Ecology,,6,National Science Foundation; Army Research Office,,,http://link.springer.com/article/10.1007/s12080-017-0352-1/fulltext.html,Theoretical Ecology,Theor Ecol,11,1,111-127,Springer Science and Business Media LLC,,Propagule; Habitat; Colonization; Spatial variability; Ecology; Spatial heterogeneity,1874-1738,https://doi.org/10.1007/s12080-017-0352-1,"A., H. E., A., M. S., C., S. A., W., O. C. (2018.0). Landscape configuration drives persistent spatial patterns of occupant distributions. Theoretical Ecology, 11(1), 111-127. https://doi.org/10.1007/s12080-017-0352-1",,,,,
The relative influence of abundance and priority effects on colonization success in a coral-reef fish,"Geange, Shane W.; Poulos, Davina E.; Stier, Adrian C.; McCormick, Mark I.",2017,10.1007/s00338-016-1503-3,https://drive.google.com/open?id=1Rj6NBWymoBVPvLPPmWTCOF3UDbrtvgCy&usp=drive_fs,,,Coral,Research,,FALSE,,,,,,,10,Ian Potter Foundation; Australian Research Council,,Meta-analysis,http://link.springer.com/content/pdf/10.1007/s00338-016-1503-3.pdf,Coral Reefs,Coral Reefs,36,1,151-155,Springer Science and Business Media LLC,,Damselfish; Relative species abundance; Abundance (ecology); Coral reef; Coral; Dominance (genetics),0722-4028,https://doi.org/10.1007/s00338-016-1503-3,"W., G. S., E., P. D., C., S. A., I., M. M. (2017.0). The relative influence of abundance and priority effects on colonization success in a coral-reef fish. Coral Reefs, 36(1), 151-155. https://doi.org/10.1007/s00338-016-1503-3",,,,,
Costly stakeholder participation creates inertia in marine ecosystems,"Lynham, J.; Halpern, B.S.; Blenckner, T.; Essington, T.; Estes, J.; Hunsicker, M.; Kappel, C.; Salomon, A.K.; Scarborough, C.; Selkoe, K.A.; Stier, A.",2017,10.1016/j.marpol.2016.11.011,https://drive.google.com/open?id=1R60A-C1S4L9vAfcIU0uBlAVX4ZWYsYtr&usp=drive_fs,,,Policy/Management,,,FALSE,,,,,,,27,Gordon and Betty Moore Foundation; National Science Foundation,,,https://api.elsevier.com/content/article/PII:S0308597X16307199?httpAccept=text/xml,Marine Policy,Marine Policy,76,,122-129,Elsevier BV,,Viewpoints; Ecosystem; Stakeholder; Environmental resource management; Process (computing); Ecosystem management,0308-597X,https://doi.org/10.1016/j.marpol.2016.11.011,"J., L., B.S., H., T., B., T., E., J., E., M., H., C., K., A.K., S., C., S., K.A., S., A., S. (2017.0). Costly stakeholder participation creates inertia in marine ecosystems. Marine Policy, 76, 122-129. https://doi.org/10.1016/j.marpol.2016.11.011",,,,,
Defining ecosystem thresholds for human activities and environmental pressures in the California Current,"Samhouri, Jameal F.; Andrews, Kelly S.; Fay, Gavin; Harvey, Chris J.; Hazen, Elliott L.; Hennessey, Shannon M.; Holsman, Kirstin; Hunsicker, Mary E.; Large, Scott I.; Marshall, Kristin N.; Stier, Adrian C.; Tam, Jamie C.; Zador, Stephani G.",2017,10.1002/ecs2.1860,https://drive.google.com/open?id=1Rgu0gVVio1EosG6UZNgqZpotcdVOPEGr&usp=drive_fs,"Abstract The oceans are changing more rapidly than ever before. Unprecedented climatic variability is interacting with unmistakable long‐term trends, all against a backdrop of intensifying human activities. What remains unclear, however, is how to evaluate whether conditions have changed sufficiently to provoke major responses of species, habitats, and communities.",,,,,TRUE,,,,,,,79,National Oceanic and Atmospheric Administration; Gordon and Betty Moore Foundation,,,https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.1860,Ecosphere,Ecosphere,8,6,,Wiley,"AbstractThe oceans are changing more rapidly than ever before. Unprecedented climatic variability is interacting with unmistakable long‐term trends, all against a backdrop of intensifying human activities. What remains unclear, however, is how to evaluate whether conditions have changed sufficiently to provoke major responses of species, habitats, and communities. We developed a framework based on multimodel inference to define ecosystem‐based thresholds for human and environmental pressures in the California Current marine ecosystem. To demonstrate how to apply the framework, we explored two decades of data using gradient forest and generalized additive model analyses, screening for nonlinearities and potential threshold responses of ecosystem states (n = 9) across environmental (n = 6) and human (n = 10) pressures. These analyses identified the existence of threshold responses of five ecosystem states to four environmental and two human pressures. Both methods agreed on threshold relationships in two cases: (1) the winter copepod anomaly and habitat modification, and (2) sea lion pup production and the summer mode of the Pacific Decadal Oscillation (PDO). Considered collectively, however, these alternative analytical approaches imply that as many as five of the nine ecosystem states may exhibit threshold changes in response to negative PDO values in the summer (copepods, scavengers, groundfish, and marine mammals). This result is consistent with the idea that the influence of the PDO extends across multiple trophic levels, but extends current knowledge by defining the nonlinear nature of these responses. This research provides a new way to interpret changes in the intensities of human and environmental pressures as they relate to the ecological integrity of the California Current ecosystem. These insights can be used to make more informed assessments of when and under what conditions intervention, preparation, and mitigation may enhance progress toward ecosystem‐based management goals.",Ecosystem; Marine ecosystem; Environmental science; Ecology; Current (fluid); Trophic level,2150-8925,https://doi.org/10.1002/ecs2.1860,"F., S. J., S., A. K., Gavin, F., J., H. C., L., H. E., M., H. S., Kirstin, H., E., H. M., I., L. S., N., M. K., C., S. A., C., T. J., G., Z. S. (2017.0). Defining ecosystem thresholds for human activities and environmental pressures in the California Current. Ecosphere, 8(6). https://doi.org/10.1002/ecs2.1860",,,,,
Rapid and direct recoveries of predators and prey through synchronized ecosystem management,"Samhouri, Jameal F.; Stier, Adrian C.; Hennessey, Shannon M.; Novak, Mark; Halpern, Benjamin S.; Levin, Phillip S.",2017,10.1038/s41559-016-0068,https://drive.google.com/open?id=1R9a3lPr5HiOt41JkmUC_YjUA1yxe-PQH&usp=drive_fs,,,Policy/Management,Policy,,FALSE,,TRUE,,,,,44,,,Meta-analysis,https://www.nature.com/articles/s41559-016-0068.pdf,Nature Ecology &amp; Evolution,Nat Ecol Evol,1,4,,Springer Science and Business Media LLC,,Ecosystem; Predation; Context (archaeology); Ecology; Restoration ecology; Habitat,2397-334X,https://doi.org/10.1038/s41559-016-0068,"F., S. J., C., S. A., M., H. S., Mark, N., S., H. B., S., L. P. (2017.0). Rapid and direct recoveries of predators and prey through synchronized ecosystem management. Nature Ecology &amp; Evolution, 1(4). https://doi.org/10.1038/s41559-016-0068",,,,,
Integrating Expert Perceptions into Food Web Conservation and Management,"Stier, Adrian C.; Samhouri, Jameal F.; Gray, Steven; Martone, Rebecca G.; Mach, Megan E.; Halpern, Benjamin S.; Kappel, Carrie V.; Scarborough, Courtney; Levin, Phillip S.",2017,10.1111/conl.12245,https://drive.google.com/open?id=1OmZXlJGjfUqw3YhDTCK4nvWDpPBdQf2t&usp=drive_fs,"Abstract Decision‐makers often rely on expert knowledge, especially in complex and data‐poor social‐ecological systems (SESs). However, expert knowledge and perceptions of SES structure and function vary; therefore, understanding how these perceptions differ is critical to building knowledge and developing sustainability solutions. Here, we quantify how scientific, local, and traditional knowledge experts vary in their perceptions of food webs centered on Pacific herring—a valuable ecological, economic, and cultural resource in Haida Gwaii, BC, Canada.",,Policy/Management,,,TRUE,,TRUE,,,,,50,Gordon and Betty Moore Foundation,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/conl.12245,Conservation Letters,CONSERVATION LETTERS,10,1,67-76,Wiley,"AbstractDecision‐makers often rely on expert knowledge, especially in complex and data‐poor social‐ecological systems (SESs). However, expert knowledge and perceptions of SES structure and function vary; therefore, understanding how these perceptions differ is critical to building knowledge and developing sustainability solutions. Here, we quantify how scientific, local, and traditional knowledge experts vary in their perceptions of food webs centered on Pacific herring—a valuable ecological, economic, and cultural resource in Haida Gwaii, BC, Canada. Expert perceptions of the herring food web varied markedly in structure, and a simulated herring recovery with each of these unique mental models demonstrated wide variability in the perceived importance of herring to the surrounding food web. Using this general approach to determine the logical consequences of expert perceptions of SES structure in the context of potential future management actions, decision‐makers can work explicitly toward filling knowledge gaps while embracing a diversity of perspectives.",Perception; Context (archaeology); Sustainability; Herring; Food web; Environmental resource management,1755-263X,https://doi.org/10.1111/conl.12245,"C., S. A., F., S. J., Steven, G., G., M. R., E., M. M., S., H. B., V., K. C., Courtney, S., S., L. P. (2017.0). Integrating Expert Perceptions into Food Web Conservation and Management. Conservation Letters, 10(1), 67-76. https://doi.org/10.1111/conl.12245",,,,,
Biodiversity effects of the predation gauntlet,"Stier, Adrian C.; Stallings, Christopher D.; Samhouri, Jameal F.; Albins, Mark A.; Almany, Glenn R.",2017,10.1007/s00338-017-1544-2,https://drive.google.com/open?id=1P9QIJFiVwz8gN01Ib8QTRV93sUDa1GAI&usp=drive_fs,,,Coral,Research,,FALSE,,,,,,,15,,,Meta-analysis,http://link.springer.com/content/pdf/10.1007/s00338-017-1544-2.pdf,Coral Reefs,Coral Reefs,36,2,601-606,Springer Science and Business Media LLC,,Mesopredator release hypothesis; Predation; Ecology; Biodiversity; Trophic level; Abundance (ecology),0722-4028,https://doi.org/10.1007/s00338-017-1544-2,"C., S. A., D., S. C., F., S. J., A., A. M., R., A. G. (2017.0). Biodiversity effects of the predation gauntlet. Coral Reefs, 36(2), 601-606. https://doi.org/10.1007/s00338-017-1544-2",,,,,
Intraspecific variation in body size does not alter the effects of mesopredators on prey,"Gallagher, Austin J.; Brandl, Simon J.; Stier, Adrian C.",2016,10.1098/rsos.160414,https://drive.google.com/open?id=1Qhlany_GtqcMs0laDm9VueyeiKlCmYO-&usp=drive_fs,"As humans continue to alter the species composition and size structure of marine food webs, it is critical to understand size-dependent effects of predators on prey. Yet, how shifts in predator body size mediate the effect of predators is understudied in tropical marine ecosystems, where anthropogenic harvest has indirectly increased the density and size of small-bodied predators. Here, we combine field surveys and a laboratory feeding experiment in coral reef fish communities to show that small and large predators of the same species can have similar effects.",,,Policy,,TRUE,,,,,,,6,,,,https://doi.org/10.1098/rsos.160414,Royal Society Open Science,R. Soc. open sci.,3,12,160414,The Royal Society,"As humans continue to alter the species composition and size structure of marine food webs, it is critical to understand size-dependent effects of predators on prey. Yet, how shifts in predator body size mediate the effect of predators is understudied in tropical marine ecosystems, where anthropogenic harvest has indirectly increased the density and size of small-bodied predators. Here, we combine field surveys and a laboratory feeding experiment in coral reef fish communities to show that small and large predators of the same species can have similar effects. Specifically, surveys show that the presence of a small predator (
            Paracirrhites arcatus
            ) was correlated with lower chances of prey fish presence, but these correlations were independent of predator size. Experimental trials corroborated the size-independent effect of the predator; attack rates were indistinguishable between small and large predators, suggesting relatively even effects of hawkfish in various size classes on the same type of prey. Our results indicate that the effects of small predators on coral reefs can be size-independent, suggesting that variation in predator size-structure alone may not always affect the functional role of these predators.",Predation; Intraspecific competition; Biology; Predator; Mesopredator release hypothesis; Ecology,2054-5703,https://doi.org/10.1098/rsos.160414,"J., G. A., J., B. S., C., S. A. (2016.0). Intraspecific variation in body size does not alter the effects of mesopredators on prey. Royal Society Open Science, 3(12), 160414. https://doi.org/10.1098/rsos.160414",,,,,
Conservation Challenges of Predator Recovery: Conservation challenges of predator recovery,"Marshall, Kristin N.; Stier, Adrian C.; Samhouri, Jameal F.; Kelly, Ryan P.; Ward, Eric J.",2016,10.1111/conl.12186,https://drive.google.com/open?id=1Rr2qZUoRnWt-uFi5v_5DmMUb6VQ3rYcZ&usp=drive_fs,,,,,,TRUE,,,,,,,113,,,,https://doi.org/10.1111/conl.12186,Conservation Letters,CONSERVATION LETTERS,9,1,70-78,Wiley,"Predators are critical components of ecosystems. Globally, conservation efforts have targeted depleted populations of top predators for legal protection, and in many cases, this protection has helped their recoveries. Where the recovery of individual species is the goal, these efforts can be seen as largely successful. From an ecosystem perspective, however, predator recovery can introduce significant new conservation and legal challenges. We highlight three types of conflicts created by a single-species focus: (1) recovering predator populations that increase competition with humans for the same prey, (2) new tradeoffs that emerge when protected predators consume protected prey, and (3) multiple predator populations that compete for the same limited prey. We use two food webs with parallel conservation challenges, the Northeast Pacific Ocean and the Greater Yellowstone Ecosystem, to demonstrate legal/policy conflicts and the policy levers that exist to ameliorate conflicts. In some cases, scientific uncertainty about the ecological interaction hinders progress towards resolving conflicts. In others, available policy options are insufficient. In all cases, management decisions must be made in the face of an unknown future. We suggest a framework that incorporates multispecies science, policy tools, and tradeoff analyses into management.",Predation; Predator; Environmental resource management; Apex predator; Competition (biology); Ecosystem,1755-263X,https://doi.org/10.1111/conl.12186,"N., M. K., C., S. A., F., S. J., P., K. R., J., W. E. (2016.0). Conservation Challenges of Predator Recovery: Conservation challenges of predator recovery. Conservation Letters, 9(1), 70-78. https://doi.org/10.1111/conl.12186",,,,,
Using rarefaction to isolate the effects of patch size and sampling effort on beta diversity,"Stier, Adrian C.; Bolker, Benjamin M.; Osenberg, Craig W.",2016,10.1002/ecs2.1612,https://drive.google.com/open?id=1PltOrLzlagWarLGrX8fdNCZmsVre9gHB&usp=drive_fs,"Abstract Beta diversity describes how species composition varies across space and through time. Current estimators of beta diversity typically ignore the effects of within‐patch sample size, determined jointly by local abundance and sampling effort. Many ecological processes such as immigration, predation, or nutrient limitation affect abundance and asymptotic beta diversity concurrently; thus, existing metrics may confound changes in asymptotic beta diversity with changes that result from differences in abundance or sampling.",,,,,TRUE,,,,,,,27,SHARCnet; NSERC Discovery,,,https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.1612,Ecosphere,Ecosphere,7,12,,Wiley,"AbstractBeta diversity describes how species composition varies across space and through time. Current estimators of beta diversity typically ignore the effects of within‐patch sample size, determined jointly by local abundance and sampling effort. Many ecological processes such as immigration, predation, or nutrient limitation affect abundance and asymptotic beta diversity concurrently; thus, existing metrics may confound changes in asymptotic beta diversity with changes that result from differences in abundance or sampling. Results from a stochastic simulation model illustrate how decreasing within‐patch sample size may either increase or decrease observed beta diversity, depending on the type of metric, sample size, and community properties; these changes are easy to understand, and predict, by considering the effects of sampling on variance. A modified, patch‐level form of rarefaction controls for variation in within‐patch sample size; two case studies illustrate the utility of this approach. Studies seeking a mechanistic link between ecological process and beta diversity will continue to benefit from explicit consideration of sampling effects.",Rarefaction (ecology); Beta diversity; Estimator; Sampling (signal processing); Sample size determination; Abundance (ecology),2150-8925,https://doi.org/10.1002/ecs2.1612,"C., S. A., M., B. B., W., O. C. (2016.0). Using rarefaction to isolate the effects of patch size and sampling effort on beta diversity. Ecosphere, 7(12). https://doi.org/10.1002/ecs2.1612",,,,,
Ecosystem context and historical contingency in apex predator recoveries,"Stier, Adrian C.; Samhouri, Jameal F.; Novak, Mark; Marshall, Kristin N.; Ward, Eric J.; Holt, Robert D.; Levin, Phillip S.",2016,10.1126/sciadv.1501769,https://drive.google.com/open?id=1PxnpQ7CByKoGVpK33ecxF11x-aPZTdgk&usp=drive_fs,"Variable life histories, species interactions, and historical contingency underlie why some predators recover and others do not.",,,Policy,,TRUE,,,,,,,83,Gordon and Betty Moore Foundation; University of Florida Foundation,,,https://advances.sciencemag.org/content/advances/2/5/e1501769.full.pdf,Science Advances,Sci. Adv.,2,5,,American Association for the Advancement of Science (AAAS),"Variable life histories, species interactions, and historical contingency underlie why some predators recover and others do not.",Apex predator; Trophic level; Ecology; Context (archaeology); Predation; Predator,2375-2548,https://doi.org/10.1126/sciadv.1501769,"C., S. A., F., S. J., Mark, N., N., M. K., J., W. E., D., H. R., S., L. P. (2016.0). Ecosystem context and historical contingency in apex predator recoveries. Science Advances, 2(5). https://doi.org/10.1126/sciadv.1501769",,,,,
Mutualism in a community context,"Palmer, Todd M.; Pringle, Elizabeth G.; Stier, Adrian; Holt, Robert D.",2015,https://doi.org/10.1093/acprof:oso/9780199675654.003.0009,https://drive.google.com/open?id=1QjafQTm9QN0AWQ-9lh0moCdY4bHKjHZm&usp=drive_fs,,,Mutualisms,,,,,,,,,,,,,,https://doi.org/10.1093/acprof:oso/9780199675654.003.0009,,,,,159-180,,"Abstract There are two broad questions that can be asked about the relationship of mutualism and community ecology: What do community interactions do for mutualisms? Conversely, what do mutualisms do for communities? This chapter addresses both questions, using examples ranging from giraffes nibbling on ant-laden acacias, to rapidly shifting coral-algal symbioses, to models of stage-structure interactions among mutualists. For an interaction between a pair of species to be mutualistic, benefits must exceed costs for each partner. Yet any benefits or costs often depend upon interactions with species outside just the interacting pair. This leads to context dependence in mutualisms, since the presence and abundance of these third (or more) parties change over space and time. Evaluating costs and benefits requires accounting for shifting suites of interactions over the lifetimes of focal species. Mutualisms can arise between guilds, not just species pairs, and guild diversity can influence mutualism functioning in ways analogous to the routes by which biodiversity impacts ecosystem functioning. Mutualisms influence communities in many ways. For starters, maintenance of diversity within mutualist guilds is itself an important slice of the general issue of biodiversity maintenance. Moreover, mutualisms modulate other mechanisms that influence diversity, at times enhancing dominance of some species over others (thus reducing diversity), and at times by providing additional avenues for niche differentiation, enhancing diversity. Mutualisms can alter species range limits and thus define the species pool available for local community assembly, and even alter community stability. The chapter ends with key open questions.",Mutualism (biology); Guild; Ecology; Biodiversity; Dominance (genetics); Community,,https://doi.org/https://doi.org/10.1093/acprof:oso/9780199675654.003.0009,"M., P. T., G., P. E., Adrian, S., D., H. R. (2015.0). Mutualism in a community context., 159-180. https://doi.org/https://doi.org/10.1093/acprof:oso/9780199675654.003.0009",,,,,
Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem,"Rudman, Seth M.; Rodriguez-Cabal, Mariano A.; Stier, Adrian; Sato, Takuya; Heavyside, Julian; El-Sabaawi, Rana W.; Crutsinger, Gregory M.",2015,10.1098/rspb.2015.1234,https://drive.google.com/open?id=1ReNl-2BVrxQloQ2HQj0UumC78zF8JJJW&usp=drive_fs,"Research in eco-evolutionary dynamics and community genetics has demonstrated that variation within a species can have strong impacts on associated communities and ecosystem processes. Yet, these studies have centred around individual focal species and at single trophic levels, ignoring the role of phenotypic variation in multiple taxa within an ecosystem. Given the ubiquitous nature of local adaptation, and thus intraspecific variation, we sought to understand how combinations of intraspecific variation in multiple species within an ecosystem impacts its ecology.",,,Research,,TRUE,,,,,,,50,,,Mesocosm,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2015.1234,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,282,1812,20151234,The Royal Society,"Research in eco-evolutionary dynamics and community genetics has demonstrated that variation within a species can have strong impacts on associated communities and ecosystem processes. Yet, these studies have centred around individual focal species and at single trophic levels, ignoring the role of phenotypic variation in multiple taxa within an ecosystem. Given the ubiquitous nature of local adaptation, and thus intraspecific variation, we sought to understand how combinations of intraspecific variation in multiple species within an ecosystem impacts its ecology. Using two species that co-occur and demonstrate adaptation to their natal environments, black cottonwood (Populus trichocarpa) and three-spined stickleback (Gasterosteus aculeatus), we investigated the effects of intraspecific phenotypic variation on both top-down and bottom-up forces using a large-scale aquatic mesocosm experiment. Black cottonwood genotypes exhibit genetic variation in their productivity and consequently their leaf litter subsidies to the aquatic system, which mediates the strength of top-down effects from stickleback on prey abundances. Abundances of four common invertebrate prey species and available phosphorous, the most critically limiting nutrient in freshwater systems, are dictated by the interaction between genetic variation in cottonwood productivity and stickleback morphology. These interactive effects fit with ecological theory on the relationship between productivity and top-down control and are comparable in strength to the effects of predator addition. Our results illustrate that intraspecific variation, which can evolve rapidly, is an under-appreciated driver of community structure and ecosystem function, demonstrating that a multi-trophic perspective is essential to understanding the role of evolution in structuring ecological patterns.",Intraspecific competition; Biology; Ecology; Stickleback; Trophic cascade; Ecosystem,0962-8452,https://doi.org/10.1098/rspb.2015.1234,"M., R. S., A., R. M., Adrian, S., Takuya, S., Julian, H., W., E. R., M., C. G. (2015.0). Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem. Proceedings of the Royal Society B: Biological Sciences, 282(1812), 20151234. https://doi.org/10.1098/rspb.2015.1234",,,,,
Principles for managing marine ecosystems prone to tipping points,"Selkoe, Kimberly A.; Blenckner, Thorsten; Caldwell, Margaret R.; Crowder, Larry B.; Erickson, Ashley L.; Essington, Timothy E.; Estes, James A.; Fujita, Rod M.; Halpern, Benjamin S.; Hunsicker, Mary E.; Kappel, Carrie V.; Kelly, Ryan P.; Kittinger, John N.; Levin, Phillip S.; Lynham, John M.; Mach, Megan E.; Martone, Rebecca G.; Mease, Lindley A.; Salomon, Anne K.; Samhouri, Jameal F.; Scarborough, Courtney; Stier, Adrian C.; White, Crow; Zedler, Joy",2015,10.1890/EHS14-0024.1,https://drive.google.com/open?id=1RsV0IERxwPOtcFFpJeYkWsk0Hc8QY09E&usp=drive_fs,"Abstract As climatic changes and human uses intensify, resource managers and other decision makers are taking actions to either avoid or respond to ecosystem tipping points, or dramatic shifts in structure and function that are often costly and hard to reverse. Evidence indicates that explicitly addressing tipping points leads to improved management outcomes. Drawing on theory and examples from marine systems, we distill a set of seven principles to guide effective management in ecosystems with tipping points, derived from the best available science.",,,,,TRUE,,,,,,,196,,,Mesocosm,https://spj.science.org/doi/pdf/10.1890/EHS14-0024.1?download=true,Ecosystem Health and Sustainability,Ecosyst Health Sustain,1,5,18-Jan,American Association for the Advancement of Science (AAAS),"AbstractAs climatic changes and human uses intensify, resource managers and other decision makers are taking actions to either avoid or respond to ecosystem tipping points, or dramatic shifts in structure and function that are often costly and hard to reverse. Evidence indicates that explicitly addressing tipping points leads to improved management outcomes. Drawing on theory and examples from marine systems, we distill a set of seven principles to guide effective management in ecosystems with tipping points, derived from the best available science. These principles are based on observations that tipping points (1) are possible everywhere, (2) are associated with intense and/or multifaceted human use, (3) may be preceded by changes in early‐warning indicators, (4) may redistribute benefits among stakeholders, (5) affect the relative costs of action and inaction, (6) suggest biologically informed management targets, and (7) often require an adaptive response to monitoring. We suggest that early action to preserve system resilience is likely more practical, affordable, and effective than late action to halt or reverse a tipping point. We articulate a conceptual approach to management focused on linking management targets to thresholds, tracking early‐warning signals of ecosystem instability, and stepping up investment in monitoring and mitigation as the likelihood of dramatic ecosystem change increases. This approach can simplify and economize management by allowing decision makers to capitalize on the increasing value of precise information about threshold relationships when a system is closer to tipping or by ensuring that restoration effort is sufficient to tip a system into the desired regime.",Tipping point (physics); Environmental resource management; Action (physics); Warning system; Psychological resilience; Ecosystem management,2096-4129,https://doi.org/10.1890/EHS14-0024.1,"A., S. K., Thorsten, B., R., C. M., B., C. L., L., E. A., E., E. T., A., E. J., M., F. R., S., H. B., E., H. M., V., K. C., P., K. R., N., K. J., S., L. P., M., L. J., E., M. M., G., M. R., A., M. L., K., S. A., ... Joy, Z. (2015.0). Principles for managing marine ecosystems prone to tipping points. Ecosystem Health and Sustainability, 1(5), 1-18. https://doi.org/10.1890/EHS14-0024.1",,,,,
